"","GeneSymbol","logFC","AveExpr","t","P.Value","adj.P.Val","logFC_Cancer_vs_Normal","B","GeneName","ENTREZID"
"203256_at","CDH3",3.2272292,7.3613838,7.77021516475788,1.61357115091073e-07,0.00110277503345055,-3.2272292,7.3673477377539,"cadherin 3","1001"
"205941_s_at","COL10A1",4.46264015,7.977664155,7.41038553409328,3.32911321456476e-07,0.0016206658530929,-4.46264015,6.71366375708634,"collagen type X alpha 1 chain","1300"
"217763_s_at","RAB31",1.66105775,10.619221125,7.28402432338329,4.31102927226723e-07,0.0016206658530929,-1.66105775,6.47922862813798,"RAB31, member RAS oncogene family","11031"
"227140_at","INHBA",4.56247851,9.598956575,7.18441475167843,5.29329859356967e-07,0.0016206658530929,-4.56247851,6.29264208212025,"inhibin subunit beta A","3624"
"217764_s_at","RAB31",1.5137357,11.23753685,7.12885301679671,5.93885714022183e-07,0.0016206658530929,-1.5137357,6.18788387776154,"RAB31, member RAS oncogene family","11031"
"225520_at","MTHFD1L",1.86438345,9.806783625,7.08383512938091,6.52119776278806e-07,0.0016206658530929,-1.86438345,6.10264860667431,"methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 1 like","25902"
"212354_at","SULF1",3.52571295,10.479865475,6.94364088653042,8.74167538403974e-07,0.00182754133761653,-3.52571295,5.83517099616089,"sulfatase 1","23213"
"242546_at","DUXAP8",2.73911072,7.89943544,6.89388749907617,9.7058687172893e-07,0.00182754133761653,-2.73911072,5.73950723094341,"double homeobox A pseudogene 8","503637"
"210511_s_at","INHBA",4.99738325,7.599702475,6.8641112809398,1.03346898168788e-06,0.00182754133761653,-4.99738325,5.68207042523021,"inhibin subunit beta A","3624"
"217762_s_at","RAB31",1.4688334,11.1584411,6.83762175077895,1.09293463675204e-06,0.00182853550479885,-1.4688334,5.63085774853573,"RAB31, member RAS oncogene family","11031"
"227566_at","NTM",2.55671014,8.80423848,6.6516426474659,1.62297712302008e-06,0.00222314773514785,-2.55671014,5.26825252060691,"neurotrimin","50863"
"1553678_a_at","ITGB1",1.0840893,12.37818355,6.57678662336792,1.90539578345546e-06,0.00222314773514785,-1.0840893,5.1208116582057,"integrin subunit beta 1","3688"
"212344_at","SULF1",3.60298292,8.74523616,6.5742719655714,1.91571652293318e-06,0.00222314773514785,-3.60298292,5.11584389042978,"sulfatase 1","23213"
"228201_at","ARL13B",1.0221045,9.01401255,6.54280137009872,2.04984894966509e-06,0.00222314773514785,-1.0221045,5.0535922181704,"ARF like GTPase 13B","200894"
"201438_at","COL6A3",2.05858325,13.062687775,6.53742367982935,2.07371805198977e-06,0.00222314773514785,-2.05858325,5.04293972581232,"collagen type VI alpha 3 chain","1293"
"203773_x_at","BLVRA",1.255682,10.3511265,6.51210355931115,2.19000199081308e-06,0.00230266074707126,-1.255682,4.99272547770683,"biliverdin reductase A","644"
"229802_at","CCN4",2.95334619,8.375161005,6.4596265278799,2.4528303052347e-06,0.00243833630797649,-2.95334619,4.88834841129455,"cellular communication network factor 4","8840"
"201108_s_at","THBS1",2.00431269,8.564422655,6.36704688307856,2.99833879019541e-06,0.00254563665512646,-2.00431269,4.70320847780089,"thrombospondin 1","7057"
"212460_at","SPTSSA",1.0749425,10.996294,6.31620211956902,3.34949923935658e-06,0.00273534867274507,-1.0749425,4.6009924400796,"serine palmitoyltransferase small subunit A","171546"
"209081_s_at","COL18A1",1.15608955,8.803904275,6.27569856716899,3.6592979516339e-06,0.00281791711979695,-1.15608955,4.51929599389333,"collagen type XVIII alpha 1 chain","80781"
"202404_s_at","COL1A2",2.55481565,12.933290675,6.21938539244289,4.1396127260768e-06,0.00301777767730999,-2.55481565,4.40531681232602,"collagen type I alpha 2 chain","1278"
"222548_s_at","MAP4K4",1.35163719,8.463643505,6.17067369471938,4.6071238422867e-06,0.00310879346416977,-1.35163719,4.30635633345865,"mitogen-activated protein kinase kinase kinase kinase 4","9448"
"241780_at","CDH11",1.53116381,6.434095445,6.15973030377833,4.71940498334733e-06,0.0031088369574038,-1.53116381,4.28407776598316,"cadherin 11","1009"
"212353_at","SULF1",3.42719155,10.492183075,6.15144565753108,4.80627050241333e-06,0.00312836713951725,-3.42719155,4.2672005856271,"sulfatase 1","23213"
"218404_at","SNX10",1.6890116,9.7951962,6.09519520445373,5.44109234806826e-06,0.0032253090028953,-1.6890116,4.15235329774657,"sorting nexin 10","29887"
"221730_at","COL5A2",1.98688285,10.805358175,6.09146439457221,5.48612230945154e-06,0.0032253090028953,-1.98688285,4.14472035476496,"collagen type V alpha 2 chain","1290"
"231766_s_at","COL12A1",2.84210159,8.256678475,6.07551375851103,5.68299182431923e-06,0.00327071134731215,-2.84210159,4.11206470733084,"collagen type XII alpha 1 chain","1303"
"212551_at","CAP2",2.21406463,7.325681215,6.06119843034299,5.86583997285851e-06,0.00328450013323489,-2.21406463,4.08272686391429,"cyclase associated actin cytoskeleton regulatory protein 2","10486"
"213869_x_at","THY1",2.09049035,9.032489685,6.05043247929087,6.00731620161845e-06,0.00328450013323489,-2.09049035,4.06064438280622,"Thy-1 cell surface antigen","7070"
"224950_at","PTGFRN",1.24027073,8.916110135,6.04276034085357,6.1102660806318e-06,0.00329106473378715,-1.24027073,4.04489795746099,"prostaglandin F2 receptor inhibitor","5738"
"225681_at","CTHRC1",2.8671448,11.5532596,6.0365804678019,6.19450522721284e-06,0.00329106473378715,-2.8671448,4.03220836989393,"collagen triple helix repeat containing 1","115908"
"235521_at","HOXA3",1.4799522,9.5359213,6.03587583067085,6.20418555796147e-06,0.00329106473378715,-1.4799522,4.03076115199767,"homeobox A3","3200"
"207173_x_at","CDH11",1.81315295,11.252214175,6.03182801001296,6.26009569847031e-06,0.00329106473378715,-1.81315295,4.02244621566702,"cadherin 11","1009"
"208636_at","ACTN1",1.30339085,12.677380075,6.00563345450438,6.63460354494451e-06,0.0033330005218539,-1.30339085,3.96858351452395,"actinin alpha 1","87"
"204361_s_at","SKAP2",1.3420065,9.12082245,5.99607689303104,6.7768830110622e-06,0.0033330005218539,-1.3420065,3.94890936416146,"src kinase associated phosphoprotein 2","8935"
"235821_at","CCN4",2.42036024,6.95642565,5.99570453815847,6.78248952084302e-06,0.0033330005218539,-2.42036024,3.94814254230388,"cellular communication network factor 4","8840"
"219553_at","NME7",1.05210565,9.587679525,5.9867058700496,6.91943594060415e-06,0.0033330005218539,-1.05210565,3.92960507092594,"NME/NM23 family member 7","29922"
"203570_at","LOXL1",1.07541671,8.757083645,5.97887394048308,7.04093026336001e-06,0.0033330005218539,-1.07541671,3.91346212793302,"lysyl oxidase like 1","4016"
"235202_x_at","IKBIP",1.26152843,7.389733495,5.96545062008637,7.25426725378352e-06,0.0033330005218539,-1.26152843,3.88577498508308,"IKBKB interacting protein","121457"
"225664_at","COL12A1",2.56169335,11.175449525,5.94852010848676,7.53281580226654e-06,0.00336697484639735,-2.56169335,3.85081904730752,"collagen type XII alpha 1 chain","1303"
